id,prabhag_id,sac_no,road_name,building_name
"1736","132",,90 Feet Road,Shri lal Ashish
"1737","132",NX0100230920000,Shanti Path Road,Orbit
"1738","132",,90 Feet Road,Dev Krupa
"1739","132",,Pune Vidya Bhavan,Panchshil
"1740","132",,"Joshi lane, Tilak road",Riddhi Siddhi Apartment
"1741","132",,M.G.Road,Marwadi vadi
"1742","132",,Derasar lane,Gayatri Darshan
"1743","132",,Tilak Road,Shankar Nagar
"1744","132",,Tilak Road,Parmeshwar Krupa
"1745","132",NX0103010170000,Tilak Road,Vallabh
"1746","132",,Tilak Road,Aashirwad Hospital
